sample,total_count,population,count,percentage
sample00000,93214,b_cell,10908,11.7021048340
sample00000,93214,cd4_t_cell,20491,21.9827493724
sample00000,93214,cd8_t_cell,24440,26.2192374536
sample00000,93214,monocyte,23511,25.2226060463
sample00000,93214,nk_cell,13864,14.8733022936
sample00001,100824,b_cell,6777,6.7216139015
sample00001,100824,cd4_t_cell,33459,33.1855510593
sample00001,100824,cd8_t_cell,19407,19.2483932397
sample00001,100824,monocyte,23011,22.8229389828
sample00001,100824,nk_cell,18170,18.0215028168
sample00002,92822,b_cell,9794,10.5513779061
sample00002,92822,cd4_t_cell,24274,26.1511279654
sample00002,92822,cd8_t_cell,22940,24.7139686712
sample00002,92822,monocyte,18332,19.7496283209
sample00002,92822,nk_cell,17482,18.8338971365
sample00003,93160,b_cell,10081,10.8211678832
sample00003,93160,cd4_t_cell,36157,38.8117217690
sample00003,93160,cd8_t_cell,20271,21.7593387720
sample00003,93160,monocyte,12610,13.5358522971
sample00003,93160,nk_cell,14041,15.0719192787
sample00004,107903,b_cell,4372,4.0517872534
sample00004,107903,cd4_t_cell,38293,35.4883552821
sample00004,107903,cd8_t_cell,33778,31.3040415929
sample00004,107903,monocyte,14933,13.8392815770
sample00004,107903,nk_cell,16527,15.3165342947
sample00005,105359,b_cell,15431,14.6461147126
sample00005,105359,cd4_t_cell,30805,29.2381286838
sample00005,105359,cd8_t_cell,31940,30.3153978303
sample00005,105359,monocyte,15779,14.9764139751
sample00005,105359,nk_cell,11404,10.8239447983
sample00006,99774,b_cell,5897,5.9103574077
sample00006,99774,cd4_t_cell,28319,28.3831459098
sample00006,99774,cd8_t_cell,31296,31.3668891695
sample00006,99774,monocyte,21606,21.6549401648
sample00006,99774,nk_cell,12656,12.6846673482
sample00007,98424,b_cell,10403,10.5695765261
sample00007,98424,cd4_t_cell,33870,34.4123384540
sample00007,98424,cd8_t_cell,13504,13.7202308380
sample00007,98424,monocyte,18031,18.3197187678
sample00007,98424,nk_cell,22616,22.9781354141
sample00008,90353,b_cell,8829,9.7716733257
sample00008,90353,cd4_t_cell,21307,23.5819507930
sample00008,90353,cd8_t_cell,26215,29.0139785065
sample00008,90353,monocyte,16378,18.1266809071
sample00008,90353,nk_cell,17624,19.5057164676
sample00009,95821,b_cell,7650,7.9836361549
sample00009,95821,cd4_t_cell,21097,22.0170943739
sample00009,95821,cd8_t_cell,33334,34.7877813840
sample00009,95821,monocyte,15676,16.3596706359
sample00009,95821,nk_cell,18064,18.8518174513
sample00010,107537,b_cell,13203,12.2776346746
sample00010,107537,cd4_t_cell,27873,25.9194509797
sample00010,107537,cd8_t_cell,21339,19.8434027358
sample00010,107537,monocyte,31913,29.6762974604
sample00010,107537,nk_cell,13209,12.2832141495
sample00011,89815,b_cell,10621,11.8254189167
sample00011,89815,cd4_t_cell,29391,32.7239325280
sample00011,89815,cd8_t_cell,19786,22.0297277738
sample00011,89815,monocyte,16497,18.3677559428
sample00011,89815,nk_cell,13520,15.0531648388
sample00012,109579,b_cell,14128,12.8929813194
sample00012,109579,cd4_t_cell,40320,36.7953713759
sample00012,109579,cd8_t_cell,21720,19.8213161281
sample00012,109579,monocyte,18802,17.1583971381
sample00012,109579,nk_cell,14609,13.3319340385
sample00013,109488,b_cell,10681,9.7554069852
sample00013,109488,cd4_t_cell,31697,28.9502045886
sample00013,109488,cd8_t_cell,19994,18.2613619757
sample00013,109488,monocyte,22073,20.1602002046
sample00013,109488,nk_cell,25043,22.8728262458
sample00014,92904,b_cell,6113,6.5799104452
sample00014,92904,cd4_t_cell,27223,29.3022905365
sample00014,92904,cd8_t_cell,25851,27.8254972875
sample00014,92904,monocyte,24463,26.3314819599
sample00014,92904,nk_cell,9254,9.9608197709
sample00015,102691,b_cell,8261,8.0445219153
sample00015,102691,cd4_t_cell,36217,35.2679397416
sample00015,102691,cd8_t_cell,21523,20.9589934853
sample00015,102691,monocyte,20937,20.3883495146
sample00015,102691,nk_cell,15753,15.3401953433
sample00016,95824,b_cell,7433,7.7569293705
sample00016,95824,cd4_t_cell,33881,35.3575304725
sample00016,95824,cd8_t_cell,22881,23.8781516113
sample00016,95824,monocyte,22197,23.1643429621
sample00016,95824,nk_cell,9432,9.8430455836
sample00017,98639,b_cell,3226,3.2705116637
